customer_id,customer_name,city
2123,Customer_2123,Bangalore
2124,Customer_2124,Pune
2125,Customer_2125,Pune
2126,Customer_2126,Delhi
2127,Customer_2127,Delhi
2128,Customer_2128,Mumbai
2129,Customer_2129,Chennai
2130,Customer_2130,Bangalore
2131,Customer_2131,Chennai
2132,Customer_2132,Delhi
2133,Customer_2133,Mumbai
2134,Customer_2134,Chennai
2135,Customer_2135,Bangalore
2136,Customer_2136,Bangalore
2137,Customer_2137,Delhi
2138,Customer_2138,Bangalore
2139,Customer_2139,Pune
2140,Customer_2140,Pune
2141,Customer_2141,Delhi
2142,Customer_2142,Delhi
2143,Customer_2143,Bangalore
2144,Customer_2144,Mumbai
2145,Customer_2145,Delhi
2146,Customer_2146,Bangalore
2147,Customer_2147,Mumbai
2148,Customer_2148,Chennai
2149,Customer_2149,Pune
2150,Customer_2150,Bangalore
2151,Customer_2151,Chennai
2152,Customer_2152,Chennai
2153,Customer_2153,Delhi
2154,Customer_2154,Chennai
2155,Customer_2155,Pune
2156,Customer_2156,Mumbai
2157,Customer_2157,Delhi
2158,Customer_2158,Chennai
2159,Customer_2159,Bangalore
2160,Customer_2160,Pune
2161,Customer_2161,Mumbai
2162,Customer_2162,Bangalore
2163,Customer_2163,Mumbai
2164,Customer_2164,Delhi
2165,Customer_2165,Delhi
2166,Customer_2166,Pune
2167,Customer_2167,Chennai
2168,Customer_2168,Delhi
2169,Customer_2169,Pune
2170,Customer_2170,Bangalore
2171,Customer_2171,Delhi
2172,Customer_2172,Mumbai
2173,Customer_2173,Mumbai
2174,Customer_2174,Delhi
2175,Customer_2175,Mumbai
2176,Customer_2176,Mumbai
2177,Customer_2177,Delhi
2178,Customer_2178,Bangalore
2179,Customer_2179,Mumbai
2180,Customer_2180,Pune
2181,Customer_2181,Delhi
2182,Customer_2182,Mumbai
2183,Customer_2183,Delhi
2184,Customer_2184,Delhi
2185,Customer_2185,Delhi
2186,Customer_2186,Bangalore
2187,Customer_2187,Chennai
2188,Customer_2188,Mumbai
2189,Customer_2189,Pune
2190,Customer_2190,Delhi
2191,Customer_2191,Delhi
2192,Customer_2192,Mumbai
2193,Customer_2193,Mumbai
2194,Customer_2194,Chennai
2195,Customer_2195,Pune
2196,Customer_2196,Mumbai
2197,Customer_2197,Chennai
2198,Customer_2198,Chennai
2199,Customer_2199,Mumbai
2200,Customer_2200,Mumbai
2201,Customer_2201,Pune
2202,Customer_2202,Pune
2203,Customer_2203,Mumbai
2204,Customer_2204,Bangalore
2205,Customer_2205,Pune
2206,Customer_2206,Mumbai
2207,Customer_2207,Delhi
2208,Customer_2208,Delhi
2209,Customer_2209,Chennai
2210,Customer_2210,Delhi
2211,Customer_2211,Pune
2212,Customer_2212,Pune
2213,Customer_2213,Delhi
2214,Customer_2214,Pune
2215,Customer_2215,Chennai
2216,Customer_2216,Chennai
2217,Customer_2217,Bangalore
2218,Customer_2218,Delhi
2219,Customer_2219,Delhi
2220,Customer_2220,Bangalore
2221,Customer_2221,Mumbai
2222,Customer_2222,Pune
2223,Customer_2223,Mumbai
2224,Customer_2224,Pune
2225,Customer_2225,Pune
2226,Customer_2226,Mumbai
2227,Customer_2227,Mumbai
2228,Customer_2228,Bangalore
2229,Customer_2229,Bangalore
2230,Customer_2230,Bangalore
2231,Customer_2231,Mumbai
2232,Customer_2232,Delhi
2233,Customer_2233,Pune
2234,Customer_2234,Bangalore
2235,Customer_2235,Bangalore
2236,Customer_2236,Pune
2237,Customer_2237,Bangalore
2238,Customer_2238,Bangalore
2239,Customer_2239,Mumbai
2240,Customer_2240,Pune
2241,Customer_2241,Chennai
2242,Customer_2242,Bangalore
2243,Customer_2243,Delhi
2244,Customer_2244,Pune
2245,Customer_2245,Pune
2246,Customer_2246,Mumbai
2247,Customer_2247,Mumbai
2248,Customer_2248,Chennai
2249,Customer_2249,Bangalore
2250,Customer_2250,Pune
2251,Customer_2251,Pune
2252,Customer_2252,Pune
2253,Customer_2253,Delhi
2254,Customer_2254,Pune
2255,Customer_2255,Pune
2256,Customer_2256,Bangalore
2257,Customer_2257,Bangalore
2258,Customer_2258,Mumbai
2259,Customer_2259,Pune
2260,Customer_2260,Delhi
2261,Customer_2261,Delhi
2262,Customer_2262,Mumbai
2263,Customer_2263,Chennai
2264,Customer_2264,Pune
2265,Customer_2265,Bangalore
2266,Customer_2266,Delhi
2267,Customer_2267,Chennai
2268,Customer_2268,Mumbai
2269,Customer_2269,Mumbai
2270,Customer_2270,Chennai
2271,Customer_2271,Mumbai
2272,Customer_2272,Chennai
2273,Customer_2273,Bangalore
2274,Customer_2274,Bangalore
2275,Customer_2275,Delhi
2276,Customer_2276,Pune
2277,Customer_2277,Delhi
2278,Customer_2278,Bangalore
2279,Customer_2279,Mumbai
2280,Customer_2280,Bangalore
2281,Customer_2281,Bangalore
2282,Customer_2282,Delhi
2283,Customer_2283,Bangalore
2284,Customer_2284,Delhi
2285,Customer_2285,Pune
2286,Customer_2286,Mumbai
2287,Customer_2287,Delhi
2288,Customer_2288,Pune
2289,Customer_2289,Pune
2290,Customer_2290,Chennai
2291,Customer_2291,Pune
2292,Customer_2292,Delhi
2293,Customer_2293,Pune
2294,Customer_2294,Chennai
2295,Customer_2295,Bangalore
2296,Customer_2296,Mumbai
2297,Customer_2297,Chennai
2298,Customer_2298,Mumbai
2299,Customer_2299,Chennai
2300,Customer_2300,Chennai
